intensity_PW_cm2,event_class,PC,explained_variance_ratio,cumulative_explained_variance
1.7,all,PC2,0.1252828209729256,0.36769845282200175
1.7,all,PC3,0.12024767221657387,0.4879461250385756
1.7,all,PC4,0.11560372404814186,0.6035498490867175
1.7,all,PC5,0.11196093185820136,0.7155107809449188
1.7,all,PC6,0.0998875098664574,0.8153982908113763
1.7,all,PC7,0.09369615615628665,0.909094446967663
1.7,all,PC8,0.04824391356146768,0.9573383605291306
1.7,all,PC9,0.042661639470869483,1.0
1.7,delayed,PC1,0.1944791438210905,0.1944791438210905
1.7,delayed,PC2,0.1299758346846987,0.3244549785057892
1.7,delayed,PC3,0.12266124369450823,0.44711622220029745
1.7,delayed,PC4,0.11262359529967571,0.5597398174999731
1.7,delayed,PC5,0.10722894009122344,0.6669687575911966
1.7,delayed,PC6,0.10142024416264435,0.768389001753841
1.7,delayed,PC7,0.09410694916684409,0.8624959509206851
1.7,delayed,PC8,0.08600300483063833,0.9484989557513235
1.7,delayed,PC9,0.051501044248676645,1.0000000000000002
1.7,direct,PC1,0.29669904480985476,0.29669904480985476
1.7,direct,PC2,0.1263892358965286,0.4230882807063834
1.7,direct,PC3,0.12264143995771358,0.545729720664097
1.7,direct,PC4,0.11657749692239115,0.6623072175864881
1.7,direct,PC5,0.11315485536003514,0.7754620729465233
1.7,direct,PC6,0.09726386737056823,0.8727259403170915
1.7,direct,PC7,0.08999946841823692,0.9627254087353284
1.7,direct,PC8,0.02267715220641052,0.985402560941739
1.7,direct,PC9,0.01459743905826101,1.0
