intensity,event_class,n,mean_P_e,std_P_e,mean_K,std_K,mean_K_over_A,mean_N_eff,median_N_eff,mean_x_max,median_x_max,mean_entropy,dominant_sector,dominant_sector_fraction,corr_p2_p3,corr_p2_p4,corr_p3_p4,mean_pair_correlation,kappa_234,mean_P_total_z,std_P_total_z
1.0,all,4872,-0.07961246519905027,5.408208352124763,1.735426410846588,0.931374566313109,0.3408206878643343,2.4624019485546524,2.5400578394625013,0.5123457268450748,0.4911700653472762,0.8694940691748645,---,0.32922824302134646,0.5705217540645245,0.5885580146860857,0.5651822492421352,0.5747540059975819,0.14674155860962304,0.01063559209144035,1.6167331050029998
1.0,delayed,2097,-0.16284412902062442,4.650714036791532,2.1206787744752256,0.9351482964003881,0.41144618118142307,2.3674889436068756,2.3690039835258103,0.5304837044507539,0.5149977869458138,0.8419466159467293,---,0.24654268001907487,0.2626885710572759,0.4284449788476001,0.3824262118483843,0.35785325391775347,0.15231019696224607,0.02794819539306202,1.6243437542014263
1.0,direct,2042,-0.0732471376001583,6.657840794700517,1.181807497116375,0.5238388105456039,0.1958910328249995,2.661648305691771,2.7486231184943954,0.4642647118550041,0.44984779747746534,0.9294275185864336,---,0.49069539666993145,0.8670570039271376,0.8442060684399764,0.8331107132143991,0.8481245951938376,0.14257911738918472,-0.022125686830368564,1.6002550468363543
1.3,all,13769,-0.0120436804083415,6.0974101584465705,1.8214624710522227,1.0024996190077111,0.32876836002158677,2.4768697016610566,2.5547705569853605,0.5082462549649593,0.4890932911909127,0.8737503599478486,---,0.3356089766867601,0.598775827712721,0.6159782784440546,0.6231525045080875,0.6126355368882876,0.007068377667999229,-0.00017203376984585223,1.675392734529679
1.3,delayed,5837,0.07958118987188317,5.221819948486776,2.275907139564698,1.0260862180852488,0.40946509815062404,2.3550274721123716,2.358823360768366,0.5347721752263731,0.5180535638089299,0.8379391533660799,+++,0.2475586774027754,0.26763580364235373,0.4350299371940507,0.45880526807273986,0.3871570029697147,-0.12151604666138496,-0.00377967610284018,1.6931904702636325
1.3,direct,6198,-0.12437021214243306,7.331979984179273,1.2953771758226518,0.6192341636901529,0.20082462348945326,2.653532998595126,2.7485177551080087,0.465727503041926,0.4516312588292895,0.925973924482565,---,0.4851565020974508,0.8710304143226139,0.8303498172464242,0.8344030478736117,0.8452610931475499,0.5894937135836711,-0.01341052553456079,1.678436730574338
1.6,all,18578,-0.027842945472703207,6.479322581419291,1.89083248995761,1.0414943868550148,0.33189781901621057,2.482354024047694,2.5622689567509447,0.5081622587070614,0.4889276716488412,0.8762156001759666,---,0.332974485951125,0.6131361948108184,0.6317527247199282,0.6310555004786546,0.6253148066698003,0.014551485924656556,0.004935138739703477,1.6345781755695254
1.6,delayed,7560,-0.020681111103085358,5.510082034380326,2.3366038557623456,1.1032479141059222,0.4110961256706638,2.36686522591021,2.391298189224782,0.535530794397988,0.5188406508714286,0.8428093850645623,---,0.24444444444444444,0.2694072699217174,0.46957445733612974,0.464743319825188,0.4012416823610117,0.024614390451585276,0.007850228957071362,1.6342898550479628
1.6,direct,8799,-0.041738878534381185,7.705175360792545,1.4170396279150546,0.688122299302039,0.2181816889432775,2.6331227581548475,2.7339788565626395,0.4705003198868258,0.45397772746068843,0.9200696275729845,---,0.4565291510398909,0.8719396478607385,0.8132101752735281,0.8129868190003884,0.8327122140448849,0.15659790738255736,0.0036224967770816384,1.6361154035546794
1.7,all,3873,0.18276011568481684,6.246760552895551,1.9331029642883948,1.0780019988835465,0.3431812427815315,2.468798849628854,2.5470810148935934,0.5122984386735995,0.4923734908812945,0.8728347578570091,+++,0.32558739994836045,0.5665137176362468,0.6096200654295791,0.593940511383196,0.5900247648163407,-0.14229648716467075,-0.014622366660538495,1.6893673418117017
1.7,delayed,1601,0.1465232916779554,5.384157109463911,2.382968501398687,1.138892654444037,0.4158249601301557,2.373879011163532,2.3856812553786595,0.5332993332711989,0.5175484308742874,0.8463842029539965,+++,0.23048094940662087,0.21371773900155083,0.45615278415606614,0.43708715561831135,0.3689858929253094,0.12298787379030039,-0.013693105917431754,1.676846394622131
1.7,direct,1695,0.3198743429647091,7.543178978866365,1.397943285067037,0.6654718904501771,0.21962921100442565,2.6281652642179396,2.725828830358312,0.4730857800130754,0.4558599626583751,0.9190575281078918,+++,0.4743362831858407,0.8681366450703845,0.8129395239287875,0.8137479663327059,0.8316080451106259,-0.9973472734395464,0.002953775166596317,1.7350190677619128
