intensity,direct_mean_K,delayed_mean_K,direct_minus_delayed_mean_K,direct_mean_K_over_A,delayed_mean_K_over_A,direct_minus_delayed_mean_K_over_A,direct_mean_N_eff,delayed_mean_N_eff,direct_minus_delayed_mean_N_eff,direct_mean_x_max,delayed_mean_x_max,direct_minus_delayed_mean_x_max,direct_mean_entropy,delayed_mean_entropy,direct_minus_delayed_mean_entropy,direct_mean_pair_correlation,delayed_mean_pair_correlation,direct_minus_delayed_mean_pair_correlation
1.0,1.181807497116375,2.1206787744752256,-0.9388712773588506,0.1958910328249995,0.41144618118142307,-0.21555514835642356,2.661648305691771,2.3674889436068756,0.29415936208489546,0.4642647118550041,0.5304837044507539,-0.06621899259574976,0.9294275185864336,0.8419466159467293,0.08748090263970432,0.8481245951938376,0.35785325391775347,0.4902713412760842
1.3,1.2953771758226518,2.275907139564698,-0.9805299637420464,0.20082462348945326,0.40946509815062404,-0.20864047466117078,2.653532998595126,2.3550274721123716,0.2985055264827543,0.465727503041926,0.5347721752263731,-0.0690446721844471,0.925973924482565,0.8379391533660799,0.08803477111648506,0.8452610931475499,0.3871570029697147,0.4581040901778352
1.6,1.4170396279150546,2.3366038557623456,-0.9195642278472911,0.2181816889432775,0.4110961256706638,-0.19291443672738628,2.6331227581548475,2.36686522591021,0.26625753224463766,0.4705003198868258,0.535530794397988,-0.06503047451116223,0.9200696275729845,0.8428093850645623,0.07726024250842223,0.8327122140448849,0.4012416823610117,0.4314705316838732
1.7,1.397943285067037,2.382968501398687,-0.98502521633165,0.21962921100442565,0.4158249601301557,-0.19619574912573004,2.6281652642179396,2.373879011163532,0.25428625305440766,0.4730857800130754,0.5332993332711989,-0.06021355325812355,0.9190575281078918,0.8463842029539965,0.07267332515389524,0.8316080451106259,0.3689858929253094,0.4626221521853165
